system:index,BIOME_NAME,GIS_AREA,GOV_TYPE,IUCN_CAT,ORIG_NAME,OWN_TYPE,STATUS_YR,WDPA_PID,band_name,boundary_x_count,boundary_x_mean,boundary_x_stdDev,buffer_x_count,buffer_x_mean,buffer_x_stdDev,gHM,year,.geo
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.006877293195094,0.7202880255433063,46262,1.0040721054770283,0.7299463216012924,0.018297615896897,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.0914350122629652,0.791852881411572,46262,1.0740927000073026,0.792730040810052,0.018297615896897,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,8.294457729346334e-05,7.227772893728781e-05,46262,9.49136556066012e-05,7.725225270346835e-05,0.018297615896897,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,4.8620567910416094e-05,3.673141315324e-05,46262,5.437820754686561e-05,4.031323959779034e-05,0.018297615896897,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.377622508312783,0.9458257125826844,46262,1.3995390700348749,0.9674343513684764,0.018297615896897,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,1.213997766311644,0.8128775896094613,46262,1.2121298308345634,0.8368584178976086,0.018297615896897,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,1.208816278867158,0.8360494896079097,46262,1.242958380562869,0.8533304014428497,0.018297615896897,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.333315984765134,0.921786365492685,46262,1.3594213783952953,0.940434140177007,0.018297615896897,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,8.95708345501368e-05,7.882303809179603e-05,46262,0.00010427660496536062,8.528579192806762e-05,0.018297615896897,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,5.101298185969598e-05,3.8358285673324326e-05,46262,5.6081969941498735e-05,4.131348425158808e-05,0.018297615896897,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
0,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b01,6383,1.0944699220405518,0.8282455169334275,46262,1.0320648494825049,0.8137828375025898,0.018297615896897,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b02,6383,0.9499264754090728,0.6952111496285578,46262,0.885135749697776,0.6639157193108871,0.018297615896897,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b03,6383,0.9783090598462112,0.7409540556019911,46262,0.9427618952468124,0.7402935928504867,0.018297615896897,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,sur_refl_b04,6383,1.0575999455990288,0.8075842264353666,46262,1.0002563170563534,0.7988141138322802,0.018297615896897,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,NDVI,6383,0.00010291030281209772,9.014380019542912e-05,46262,0.00011490778350988248,9.162334552164224e-05,0.018297615896897,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Temperate Conifer Forests,8905.15167170484,Not Reported,Not Applicable,Parc national de Yellowstone,Not Reported,1978,2013,BSI,6383,6.226347329153748e-05,4.4996053162022494e-05,46262,6.949331237745572e-05,4.837356481073238e-05,0.018297615896897,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
